product_code,name,base_unit,active
32024662,PP 701 BIJELA 50/66 DORA TRGOVINA ZELENI TISAK,kom,true
32024666,PP 701 BIJELA 50/66 H,kom,true
32024676,PP 600 BIJELA 50/66 MAIL BOXES ETC,kom,true
32024679,PP 701 BIJELA 50/66 MULTI FORMA,kom,true
32024683,PP 701 BIJELA 50/330 MESAR. OBLAK,kom,true
32024684,PP 732 BIJELA 50/66 RI INSTAL,kom,true
32024688,PP 701 BIJELA 50/66 WISE GRUS,kom,true
32024703,PP 701 BIJELA 50/66 ALPINA,kom,true
32024708,PVC BIJELA 50/66 RECIKLAŽNI ZNAK,kom,true
32024713,PP 701 BIJELA 50/66 MOBIS,kom,true
32024716,PP 701 BIJELA 50/66 KLEN,kom,true
32024725,PP 701 BIJELA 50/66 MATCH FISHING,kom,true
32024745,PP 701 BIJELA TONIRANO ŽUTA 75/66 STENAVERT,kom,true
32024748,PP 701 BIJELA 50/66 HOSEKRA,kom,true
32024749,PP 701 PROZIRNA 50/66 CHROMOS,kom,true
32024750,PP 701 BIJELA 50/66 SOMA,kom,true
32024755,PP 732 BIJELA 50/66 NOVAG,kom,true
32024757,PP 600 BIJELA 50/66 MOTO MARKET,kom,true
32024762,PVC BIJELA TONIRANO CRNA 50/66 RED PITAYA,kom,true
32024769,PVC BIJELA 50/66 MOTO X GENERATION,kom,true
32024771,PP 701 BIJELA 50/66 LAGERMAX LOGISTIKA 2023,kom,true
32024772,PP 701 BIJELA 50/66 RIVALIS,kom,true
32024789,PP 701 BIJELA 50/66 KLIK CUTTING,kom,true
32024800,PP 600 BIJELA 50/66 GM PHARMA,kom,true
32024817,PP 600 BIJELA 50/66 RIMAC,kom,true
32024823,PP 701 BIJELA 50/66 LAGERMAX LOGISTIKA RIJEKA 2023,kom,true
32024824,PP 701 BIJELA 50/66 LAGERMAX LOGISTIKA ZAGREB  2023,kom,true
32024830,PP 701 BIJELA 50/66 FITNESS - SHOP,kom,true
32024832,PP 600 BIJELA 50/66 MAIL BOXES SISAK,kom,true
32024839,PP 701 BIJELA 50/66 GRUPACIJA FLAVIA x MARINO TRANS,kom,true
32024841,PP 701 PROZIRNA 50/66 MIKLAUŽIĆ,kom,true
32024849,PP 701 BIJELA 50/66 ELLABO,kom,true
